transaction_id,revenue_at_risk,risk_score,risk_level,root_cause,action,reason,expected_recovery,recovery_probability,intervention_cost,requires_human_approval,policy_checks,stopping_reason,confidence
txn_8a8dab2f,1739.0,50,MEDIUM,PAYMENT_METHOD_FAILURE,PAYMENT_REMINDER,Base action selected for PAYMENT_METHOD_FAILURE,695.6,0.4,2,False,[],,30.0
txn_dcd95042,45853.0,25,LOW,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,16048.55,0.35,2,False,[],,35.0
txn_f7497309,42569.0,55,MEDIUM,OVERDUE_RECEIVABLE,RECEIVABLES_ESCALATION,Invoice is 10 days overdue (escalation stage),21284.5,0.5,50,False,"[""OVERDUE_ESCALATION""]",,40.0
txn_bb285925,36600.0,30,MEDIUM,OTHER_REVENUE_RISK,PAYMENT_REMINDER,Base action selected for OTHER_REVENUE_RISK,7320.0,0.2,2,False,[],,30.0
txn_98900110,34776.0,55,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (33 days). Requires human approval.,17388.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,40.0
txn_6a8625b7,7410.0,30,MEDIUM,AUTHENTICATION_FAILURE,PAYMENT_REMINDER,Base action selected for AUTHENTICATION_FAILURE,3334.5,0.45,2,False,[],,55.0
txn_79a74ce8,41974.0,30,MEDIUM,PAYMENT_METHOD_FAILURE,PAYMENT_REMINDER,Base action selected for PAYMENT_METHOD_FAILURE,16789.6,0.4,2,False,[],,50.0
txn_bbf7152e,20253.0,45,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (31 days). Requires human approval.,10126.5,0.5,0,True,"[""OVERDUE_SEVERE""]",,60.0
txn_d8af1b58,37862.0,45,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (61 days). Requires human approval.,18931.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,50.0
txn_048cd823,36166.0,45,MEDIUM,OVERDUE_RECEIVABLE,RECEIVABLES_ESCALATION,Invoice is 13 days overdue (escalation stage),18083.0,0.5,50,False,"[""OVERDUE_ESCALATION""]",,60.0
txn_935d2bf0,29919.0,35,MEDIUM,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,10471.65,0.35,2,False,[],,25.0
txn_34dd1b1f,38057.0,45,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (70 days). Requires human approval.,19028.5,0.5,0,True,"[""OVERDUE_SEVERE""]",,60.0
txn_07150712,37434.0,55,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (32 days). Requires human approval.,18717.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,40.0
txn_66e0e064,4608.0,55,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (32 days). Requires human approval.,2304.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,40.0
txn_42faf4d0,26732.0,25,LOW,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,9356.2,0.35,2,False,[],,35.0
txn_aafbdedd,11802.0,45,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (75 days). Requires human approval.,5901.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,60.0
txn_43744cae,7678.0,45,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (50 days). Requires human approval.,3839.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,50.0
txn_64e25f0a,45113.0,35,MEDIUM,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,15789.55,0.35,2,False,[],,35.0
txn_6642f1ed,49315.0,30,MEDIUM,AUTHENTICATION_FAILURE,PAYMENT_REMINDER,Base action selected for AUTHENTICATION_FAILURE,22191.75,0.45,2,False,[],,55.0
txn_7beca169,43850.0,35,MEDIUM,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,15347.5,0.35,2,False,[],,35.0
txn_9af30457,34263.0,35,MEDIUM,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,11992.05,0.35,2,False,[],,35.0
txn_06ca14a3,45681.0,35,MEDIUM,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,15988.35,0.35,2,False,[],,25.0
txn_cb9b8bb0,26597.0,30,MEDIUM,AUTHENTICATION_FAILURE,PAYMENT_REMINDER,Base action selected for AUTHENTICATION_FAILURE,11968.65,0.45,2,False,[],,55.0
txn_62b4c684,8993.0,30,MEDIUM,PAYMENT_METHOD_FAILURE,PAYMENT_REMINDER,Base action selected for PAYMENT_METHOD_FAILURE,3597.2,0.4,2,False,[],,40.0
txn_64d494c9,27727.0,45,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (33 days). Requires human approval.,13863.5,0.5,0,True,"[""OVERDUE_SEVERE""]",,60.0
txn_0c4b7d35,42813.0,30,MEDIUM,TEMPORARY_PAYMENT_FAILURE,SMART_RETRY,Base action selected for TEMPORARY_PAYMENT_FAILURE,32109.75,0.75,5,False,[],,85.0
txn_71218d30,37060.0,30,MEDIUM,AUTHENTICATION_FAILURE,PAYMENT_REMINDER,Base action selected for AUTHENTICATION_FAILURE,16677.0,0.45,2,False,[],,45.0
txn_4ca093a9,37188.0,25,LOW,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,13015.8,0.35,2,False,[],,45.0
txn_d99404ea,5779.0,55,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (36 days). Requires human approval.,2889.5,0.5,0,True,"[""OVERDUE_SEVERE""]",,40.0
txn_3daa28a3,32119.0,40,MEDIUM,OTHER_REVENUE_RISK,PAYMENT_REMINDER,Base action selected for OTHER_REVENUE_RISK,6423.8,0.2,2,False,[],,10
txn_7ec86ce3,17854.0,30,MEDIUM,INSUFFICIENT_FUNDS,PAYMENT_REMINDER,Base action selected for INSUFFICIENT_FUNDS,5356.2,0.3,2,False,[],,30.0
txn_9f260208,41903.0,45,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (63 days). Requires human approval.,20951.5,0.5,0,True,"[""OVERDUE_SEVERE""]",,60.0
txn_9b9c144c,13064.0,30,MEDIUM,TEMPORARY_PAYMENT_FAILURE,SMART_RETRY,Base action selected for TEMPORARY_PAYMENT_FAILURE,9798.0,0.75,5,False,[],,85.0
txn_b0076ee8,37403.0,50,MEDIUM,AUTHENTICATION_FAILURE,PAYMENT_REMINDER,Base action selected for AUTHENTICATION_FAILURE,16831.35,0.45,2,False,[],,35.0
txn_baefac09,44158.0,45,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (35 days). Requires human approval.,22079.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,60.0
txn_9cb5ef21,28666.0,55,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (82 days). Requires human approval.,14333.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,40.0
txn_984f6acd,21714.0,55,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (53 days). Requires human approval.,10857.0,0.5,0,True,"[""OVERDUE_SEVERE""]",,40.0
txn_6dd3fbf5,30341.0,45,MEDIUM,OVERDUE_RECEIVABLE,RECEIVABLES_ESCALATION,Invoice is 16 days overdue (escalation stage),15170.5,0.5,50,False,"[""OVERDUE_ESCALATION""]",,60.0
txn_13972121,32189.0,55,MEDIUM,OVERDUE_RECEIVABLE,RECEIVABLES_ESCALATION,Invoice is 20 days overdue (escalation stage),16094.5,0.5,50,False,"[""OVERDUE_ESCALATION""]",,50.0
txn_160acd62,12463.0,55,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (90 days). Requires human approval.,6231.5,0.5,0,True,"[""OVERDUE_SEVERE""]",,50.0
txn_fc270b73,25402.0,35,MEDIUM,CHECKOUT_ABANDONMENT,PAYMENT_REMINDER,Base action selected for CHECKOUT_ABANDONMENT,8890.7,0.35,2,False,[],,25.0
txn_dd2ed926,41177.0,55,MEDIUM,OVERDUE_RECEIVABLE,HUMAN_APPROVAL,Invoice is severely overdue (63 days). Requires human approval.,20588.5,0.5,0,True,"[""OVERDUE_SEVERE""]",,40.0
txn_8504cb91,28540.0,30,MEDIUM,OTHER_REVENUE_RISK,PAYMENT_REMINDER,Base action selected for OTHER_REVENUE_RISK,5708.0,0.2,2,False,[],,30.0
